"Region","rsu_raf","nombre","glosa","fono","Socios","Socias","FechaConstitucion","Column1","NombreOficina","Empresa","total","tramo","tipo","anio","Mes","Dia","antiguedad","decada","codigo_region"
"Tarapacá",1010184,"SINDICATO DE EMPRESA Nº1 DE ZONA FRANCA DE IQUIQUE S.A.","ACTIVO",NA,84,27,1990-10-03,NA,"IPT IQUIQUE",": 70285500-4 ZONA FRANCA DE IQUIQUE S.A.",111,"Entre 101 y 200","Empresa",1990,10,3,31,"Entre 1981 a 1990","01"
"Tarapacá",1010185,"SINDICATO DE EMPRESA ADMINISTRADORA DE ZONA FRANCA DE IQUIQUE S.A.","ACTIVO",NA,47,35,1990-10-05,NA,"IPT IQUIQUE",": 70285500-4 ZONA FRANCA DE IQUIQUE S.A.",82,"Entre 51 y 100","Empresa",1990,10,5,31,"Entre 1981 a 1990","01"
"Tarapacá",1010188,"SINDICATO DE TRABAJADORES DE EMPRESA FUNDACION ALMIRANTE CARLOS CONDELL IQUIQUE","ACTIVO","424784",24,18,1990-11-29,NA,"IPT IQUIQUE",": 71142500-4 FUNDACION ALMIRANTE CARLOS CONDELL",42,"Entre 41 y 50","Empresa",1990,11,29,31,"Entre 1981 a 1990","01"
"Tarapacá",1010192,"SINDICATO N 3 DE TRABAJADORES DE EMPRESA AGUAS DEL ALTIPLANO S.A. ""SINTRADA""","ACTIVO",NA,70,44,1991-02-04,NA,"IPT IQUIQUE",": 76215634-2 AGUAS DEL ALTIPLANO S.A.",114,"Entre 101 y 200","Empresa",1991,2,4,31,"Entre 1991 a 2000","01"
"Tarapacá",1010197,"SINDICATO DE TRABAJADORES N 1 DE EMPRESA CORPORACION MUNICIPAL DE DESARROLLO SOCIAL DE IQUIQUE","ACTIVO",NA,174,672,1991-06-18,"879000 OTRAS ACTIVIDADES DE ATENCIÓN EN INSTITUCIONES","IPT IQUIQUE",": 70938800-2 COPORACION MUNICIPAL DE DESARROLLO SOCIAL DE IQUIQUE",846,"Más de 200","Empresa",1991,6,18,30,"Entre 1991 a 2000","01"
"Tarapacá",1010198,"SINDICATO Nº 1 DE TRABAJADORES DE ""EMPRESA ELECTRICA DE IQUIQUE S.A.""","ACTIVO",NA,16,19,1991-06-21,NA,"IPT IQUIQUE",": 76411321-7 CGE S.A.: 96541870-9 EMPRESA ELECTRICA DE IQUIQUE S.A.",35,"40 o menos","Empresa",1991,6,21,30,"Entre 1991 a 2000","01"
"Tarapacá",1010208,"SINDICATO DE EMPRESA Nº3 COMPAÑIA MINERA PUNTA DE LOBOS S.A.","ACTIVO","513206",18,0,1991-10-12,"89300 EXTRACCIÓN DE SAL","IPT IQUIQUE",": 99589040-2 COMPAÑIA MINERA PUNTA DE LOBOS S.A.",18,"40 o menos","Empresa",1991,10,12,30,"Entre 1991 a 2000","01"
"Tarapacá",1010210,"SINDICATO DE TRABAJADORES DE EMPRESA SOCIEDAD COLEGIO LIRIMA LTDA.","ACTIVO","441376",12,38,1991-10-21,"850012 ENSEÑANZA PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL PÚBLICA","IPT IQUIQUE",": 79597140-8 COLEGIO LIRIMA SA",50,"Entre 41 y 50","Empresa",1991,10,21,30,"Entre 1991 a 2000","01"
"Tarapacá",1010218,"SINDICATO DE TRABAJADORES EMPRESA corporacion educacional ACADEMIA TARAPACA","ACTIVO",NA,12,25,1992-04-03,"850012 ENSEÑANZA PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL PÚBLICA","IPT IQUIQUE",": 65153936-6 CORPORACION EDUCACIONAL ACADEMIA TARAPACA",37,"40 o menos","Empresa",1992,4,3,30,"Entre 1991 a 2000","01"
"Tarapacá",1010239,"SINDICATO DE EMPRESA CLINICA IQUIQUE S.A.","ACTIVO","393200",11,90,1993-05-07,"861020 ACTIVIDADES DE HOSPITALES Y CLÍNICAS PRIVADAS","IPT IQUIQUE",": 96598850-5 CLINICA IQUIQUE S.A.",101,"Entre 101 y 200","Empresa",1993,5,7,29,"Entre 1991 a 2000","01"
"Arica y Parinacota",15010492,"SINDICATO DE EMPRESA INSTITUTO DE FOMENTO PESQUERO - ZONA NORTE CENTRO Y SUR","ACTIVO","979896140",16,4,1993-07-23,NA,"IPT ARICA",": 61310000-8 INSTITUTO DE FOMENTO PESQUERO",20,"40 o menos","Empresa",1993,7,23,28,"Entre 1991 a 2000","15"
"Tarapacá",1010245,"SINDICATO DE TRABAJADORES COMPAÑIA MINERA QUEBRADA BLANCA","ACTIVO",NA,84,0,1993-08-09,"40000 EXTRACCIÓN Y PROCESAMIENTO DE COBRE","IPT IQUIQUE",": 96567040-8 COMPAÑIA MINERA QUEBRADA BLANCA S.A.",84,"Entre 51 y 100","Empresa",1993,8,9,28,"Entre 1991 a 2000","01"
"Tarapacá",1010259,"SINDICATO DE EMPRESA COMPAÑIA PESQUERA CAMANCHACA S.A., ESTABLECIMIENTO DE IQUIQUE","ACTIVO","412980",44,0,1994-04-24,NA,"IPT IQUIQUE",": 93711000-6 CIA. PESQUERA CAMANCHACA S.A.",44,"Entre 41 y 50","Empresa",1994,4,24,28,"Entre 1991 a 2000","01"
"Tarapacá",1010292,"SINDICATO Nº1 DE EMPRESA COMPAÑIA MINERA CERRO COLORADO LTDA.","ACTIVO",NA,773,90,1995-09-13,"40000 EXTRACCIÓN Y PROCESAMIENTO DE COBRE","IPT IQUIQUE",": 94621000-5 COMPAÑIA MINERA CERRO COLORADO LIMITADA",863,"Más de 200","Empresa",1995,9,13,26,"Entre 1991 a 2000","01"
"Tarapacá",1010297,"SINDICATO DE TRABAJADORES EMPRESA COLEGIO ATENEA","ACTIVO",NA,9,41,1995-11-22,"850022 ENSEÑANZA PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL PRIVADA","IPT IQUIQUE",": 65135174-K ENTIDAD INDIVIDUAL EDUCACIONAL JOSE ALBERTO BAEZ SOZA",50,"Entre 41 y 50","Empresa",1995,11,22,26,"Entre 1991 a 2000","01"
"Tarapacá",1010298,"SINDICATO DE TRABAJADORES AGUAS DEL ALTIPLANO S.A.","ACTIVO","403688-403693",17,16,1995-11-27,"942000 ACTIVIDADES DE SINDICATOS","IPT IQUIQUE",": 76215634-2 AGUAS DEL ALTIPLANO S.A.",33,"40 o menos","Empresa",1995,11,27,26,"Entre 1991 a 2000","01"
"Tarapacá",1010300,"SINDICATO DE TRABAJADORES EMPRESA AGUAS DEL ALTIPLANO S.A. ""SINTRAL""","ACTIVO",NA,52,2,1996-01-31,NA,"IPT IQUIQUE",": 76215634-2 AGUAS DEL ALTIPLANO S.A.",54,"Entre 51 y 100","Empresa",1996,1,31,26,"Entre 1991 a 2000","01"
"Tarapacá",1010313,"SINDICATO DE EMPRESA CIA. MINERA DOÑA INES DE COLLAHUASI S. C. M.","ACTIVO","573840",1434,43,1997-05-06,NA,"IPT IQUIQUE",": 89468900-5 COMPAÑÍA MINERA DOÑA INES DE COLLAHUASI SCM",1477,"Más de 200","Empresa",1997,5,6,25,"Entre 1991 a 2000","01"
"Tarapacá",1010320,"SINDICATO cultural y social de los TRABAJADORES DEl colegio metodista william taylor LA CORPORACION METODISTA COLEGIO WILLIAM TAYLOR","ACTIVO",NA,21,65,1997-11-22,"942000 ACTIVIDADES DE SINDICATOS","IPT IQUIQUE",": 65033052-8 FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE WILLIAM TAYLOR: 70002810-0 CORPORACION METODISTA",86,"Entre 51 y 100","Empresa",1997,11,22,24,"Entre 1991 a 2000","01"
"Tarapacá",1010329,"SINDICATO DE EMPRESA SOCIEDAD INDUSTRIAL MINERA NUEVA VICTORIA S.A.","ACTIVO",NA,115,10,1998-08-01,NA,"IPT IQUIQUE",": 96810850-6 SOC INDUSTRIAL MINERA NUEVA VICTORIA S A",125,"Entre 101 y 200","Empresa",1998,8,1,23,"Entre 1991 a 2000","01"
"Tarapacá",1010332,"SINDICATO DE EMPRESA KOMATSU CHILE S.A.","ACTIVO","321942",299,9,1998-09-01,NA,"IPT IQUIQUE",": 96843130-7 KOMATSU CHILE S.A",308,"Más de 200","Empresa",1998,9,1,23,"Entre 1991 a 2000","01"
"Tarapacá",1010334,"SINDICATO DE EMPRESA DEL HOGAR DE CRISTO SEDE TARAPACA","ACTIVO",NA,4,63,1998-09-10,NA,"IPT IQUIQUE",": 81496800-6 FUNDACIÓN DE BENEFICENCIA HOGAR DE CRISTO",67,"Entre 51 y 100","Empresa",1998,9,10,23,"Entre 1991 a 2000","01"
"Tarapacá",1010342,"SINDICATO de trabajadores de la fundacion educacional abisal","ACTIVO",NA,15,83,1999-04-06,"850022 ENSEÑANZA PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL PRIVADA","IPT IQUIQUE",": 65152154-8 FUNDACION EDUCACIONAL ABISAI",98,"Entre 51 y 100","Empresa",1999,4,6,23,"Entre 1991 a 2000","01"
"Arica y Parinacota",15010032,"SINDICATO DE TRABAJADORES DE EMPRESA HOTELERA PANAMERICANA S.A. DE ARICA","ACTIVO",NA,8,6,1970-12-04,"551001 ACTIVIDADES DE HOTELES","IPT ARICA",": 77251070-5 HOTEL ARICA LIMITADA",14,"40 o menos","Empresa",1970,12,4,51,"Entre 1961 a 1970","15"
"Arica y Parinacota",15010036,"SINDICATO nacional DE TRABAJADORES DE EMPRESA E. cl s.a.","ACTIVO",NA,22,1,1966-07-23,NA,"IPT ARICA",": 88006900-4 EMPRESA ELECTRICA DEL NORTE GRANDE S.A",23,"40 o menos","Empresa",1966,7,23,55,"Entre 1961 a 1970","15"
"Arica y Parinacota",15010047,"SINDICATO DE TRABAJADORES DE LA EMPRESA PORTUARIA ARICA","ACTIVO",NA,9,5,1970-01-07,NA,"IPT ARICA",": 61945700-5 EMPRESA PORTUARIA ARICA",14,"40 o menos","Empresa",1970,1,7,52,"Entre 1961 a 1970","15"
"Arica y Parinacota",15010064,"SINDICATO DE TRABAJADORES EMBOTELLADORA ARICA S.A.I.C.","ACTIVO",NA,110,13,1967-06-11,NA,"IPT ARICA",": 93281000-K COCA COLA EMBONOR S.A.",123,"Entre 101 y 200","Empresa",1967,6,11,54,"Entre 1961 a 1970","15"
"Arica y Parinacota",15010068,"SINDICATO DE TRABAJADORES DE LA EMPRESA INDUSTRIAS ELECTRONICAS CONDENSA S.A ARICA","ACTIVO",NA,84,42,1971-05-05,NA,"IPT ARICA",": 93456000-0 INDUSTRIAS ELECTRONICAS CONDENSA S.A",126,"Entre 101 y 200","Empresa",1971,5,5,51,"Entre 1971 a 1980","15"
"Arica y Parinacota",15010116,"SINDICATO DE TRABAJADORES Nº 1 AGROINDUSTRIAL ARICA LIMITADA","ACTIVO",NA,15,2,1983-02-15,"14601 CRÍA DE AVES DE CORRAL PARA LA PRODUCCIÓN DE CARNE","IPT ARICA",": 76614620-1 AGROINDUSTRIAL ARICA LTDA",17,"40 o menos","Empresa",1983,2,15,39,"Entre 1981 a 1990","15"
"Arica y Parinacota",15010130,"SINDICATO DE TRABAJADORES Nº1 DE LA EMPRESA FÁBRICA DE LADRILLOS MELUS S.A.I. DE ARICA","ACTIVO",NA,19,1,1985-04-12,NA,"IPT ARICA",": 93419000-9 FABRICA DE LADRILLOS MELUS S.A.I.",20,"40 o menos","Empresa",1985,4,12,37,"Entre 1981 a 1990","15"
"Arica y Parinacota",15010150,"SINDICATO DE TRABAJADORES DE LA EMPRESA ASTILLEROS ARICA S.A.","ACTIVO",NA,56,0,1987-02-11,NA,"IPT ARICA",": 94283000-9 ASTILLEROS ARICA S.A.",56,"Entre 51 y 100","Empresa",1987,2,11,35,"Entre 1981 a 1990","15"
"Arica y Parinacota",15010156,"SINDICATO TRABAJADORES DE LA EMPRESA RECURSOS PORTUARIOS Y ESTIBAS LIMITADA.","ACTIVO",NA,32,3,1987-07-23,NA,"IPT ARICA",": 79509640-K RECURSOS PORTUARIOS Y ESTIBAS LTDA.",35,"40 o menos","Empresa",1987,7,23,34,"Entre 1981 a 1990","15"
"Arica y Parinacota",15010172,"SINDICATO DE TRABAJADORES QUIBORAX","ACTIVO","952365312",226,2,1989-05-10,"239900 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS N.C.P.","IPT ARICA",": 79639570-2 QUIBORAX S. A.",228,"Más de 200","Empresa",1989,5,10,32,"Entre 1981 a 1990","15"
"Arica y Parinacota",15010184,"SINDICATO DE TRABAJADORES PROFESIONALES TECNICOS Y ADMINISTRATIVOS DE LA EMPRESA ELECTRICA DE ARICA S.A.","ACTIVO",NA,44,8,1990-02-15,NA,"IPT ARICA",": 76411321-7 CGE S.A.: 96542120-3 EMPRESA ELECTRICA DE ARICA S.A.",52,"Entre 51 y 100","Empresa",1990,2,15,32,"Entre 1981 a 1990","15"
"Arica y Parinacota",15010185,"SINDICATO DE TRABAJADORES DE EMPRESA COLEGIO SAN MARCOS DE ARICA","ACTIVO","583586",29,66,1990-03-10,NA,"IPT ARICA",": 65378030-3 FUNDACION EDUCACIONAL SAN MARCOS DE ARICA: 82208900-3 COLEGIO SAN MARCOS",95,"Entre 51 y 100","Empresa",1990,3,10,32,"Entre 1981 a 1990","15"
"Arica y Parinacota",15010191,"SINDICATO DE TRABAJADORES JUNIOR COLLEGE S.A.","ACTIVO",NA,5,22,1990-03-29,NA,"IPT ARICA",": 96883910-1 JUNIOR COLLEGE S.A.",27,"40 o menos","Empresa",1990,3,29,32,"Entre 1981 a 1990","15"
"Arica y Parinacota",15010205,"SINDICATO DE TRABAJADORES Nº 1 DE LA EMPRESA SERVICIOS SANITARIOS DE TARAPACA S.A. ARICA","ACTIVO",NA,64,9,1990-05-17,NA,"IPT ARICA",": 76215634-2 AGUAS DEL ALTIPLANO S.A.: 96579190-6 EMP DE SERVICIOS SANITARIOS DE TARAPACA S A",73,"Entre 51 y 100","Empresa",1990,5,17,31,"Entre 1981 a 1990","15"
"Arica y Parinacota",15010207,"SINDICATO DE TRABAJADORES DE EMPRESA INDUSTRIAS MADERAS ENCO S.A.ARICA","ACTIVO",NA,33,5,1990-06-22,NA,"IPT ARICA",": 92648000-6 MADERAS ENCO S.A.",38,"40 o menos","Empresa",1990,6,22,31,"Entre 1981 a 1990","15"
"Arica y Parinacota",15010230,"SINDICATO DE TRABAJADORES DECIMO QUINTA REGION DE ARICA Y PARINACOTA Y OTROS","ACTIVO",NA,23,5,1991-08-16,"942000 ACTIVIDADES DE SINDICATOS","IPT ARICA",": 61313019-5 CORPORACION NACIONAL FORESTAL",28,"40 o menos","Empresa",1991,8,16,30,"Entre 1991 a 2000","15"
"Antofagasta",2010005,"SINDICATO DE EMPRESA INDUSTRIA NACIONAL DE CEMENTO S.A. Nº 1.","ACTIVO",NA,95,8,1979-08-09,NA,"IPT ANTOFAGASTA",": 76115484-2 INACAL S.A.: 96718010-6 CEMENTOS BIO BIO CENTRO S.A.",103,"Entre 101 y 200","Empresa",1979,8,9,42,"Entre 1971 a 1980","02"
"Antofagasta",2010008,"SINDICATO DE TRABAJADORES DE LA EMPRESA NACIONAL DE MINERIA ESTABLECIMIENTO DE TALTAL","ACTIVO",NA,31,6,1979-08-29,NA,"IPT ANTOFAGASTA",": 61703000-4 ENAMI",37,"40 o menos","Empresa",1979,8,29,42,"Entre 1971 a 1980","02"
"Antofagasta",2010010,"SINDICATO DE TRABAJADORES DE LA EMPRESA AVICOLA KUTULAS, RAZMILIC Y CIA.","ACTIVO",NA,9,3,1979-09-04,NA,"IPT ANTOFAGASTA",": 81830100-6 KUTULAS RÁZMILIC Y CIA. LTDA.",12,"40 o menos","Empresa",1979,9,4,42,"Entre 1971 a 1980","02"
"Antofagasta",2010012,"SINDICATO TRABAJADORES Nº 4 DE LA EMPRESA F.C.A.B","ACTIVO","206644",164,19,1937-11-20,NA,"IPT ANTOFAGASTA",": 81148200-5 FERROCARRIL ANTOFAGASTA A BOLIVIA",183,"Entre 101 y 200","Empresa",1937,11,20,84,"Entre 1900 a 1950","02"
"Antofagasta",2010014,"SINDICATO DE TRABAJADORES DE LA EMPRESA S.Q.M. INDUSTRIAL S.A. Nº 14 ANTOFAGASTA","ACTIVO",NA,33,29,1972-10-20,NA,"IPT ANTOFAGASTA",": 79947100-0 SQM INDUSTRIAL S.A.",62,"Entre 51 y 100","Empresa",1972,10,20,49,"Entre 1971 a 1980","02"
"Antofagasta",2030088,"SINDICATO DE TRABAJADORES INTEREMPRESA S.Q.M. NUTRATOS S.A. Nº5 PEDRO DE VALDIVIA","ACTIVO",NA,46,5,1939-02-12,NA,"IPT TOCOPILLA",": 96592190-7 SQM NITRATOS S.A.",51,"Entre 51 y 100","Empresa",1939,2,12,83,"Entre 1900 a 1950","02"
"Antofagasta",2030087,"SINDICATO DE TRABAJADORES S.Q.M.NITRATOS S.A. Nº 4 PEDRO DE VALDIVIA","ACTIVO",NA,152,7,1938-04-24,NA,"IPT TOCOPILLA",": 96592190-7 SQM NITRATOS S.A.",159,"Entre 101 y 200","Empresa",1938,4,24,84,"Entre 1900 a 1950","02"
"Antofagasta",2010019,"SINDICATO DE TRABAJADORES DE LA EMPRESA ELECTRICA DEL NORTE GRANDE S.A.","ACTIVO",NA,111,5,1966-07-19,"351019 GENERACIÓN DE ENERGÍA ELÉCTRICA EN OTRAS CENTRALES N.C.P.","IPT ANTOFAGASTA",": 88006900-4 EMPRESA ELECTRICA DEL NORTE GRANDE S.A",116,"Entre 101 y 200","Empresa",1966,7,19,55,"Entre 1961 a 1970","02"
"Antofagasta",2010050,"SINDICATO DE TRABAJADORES Nº 1 DE LA EMPRESA UNIVERSIDAD CATOLICA DEL NORTE","ACTIVO",NA,103,107,1966-11-29,NA,"IPT ANTOFAGASTA",": 81518400-9 UNIVERSIDAD CATOLICA DEL NORTE",210,"Más de 200","Empresa",1966,11,29,55,"Entre 1961 a 1970","02"
"Antofagasta",2010051,"SINDICATO DE TRABAJADORES DE LA EMPRESA MINERA MANTOS BLANCOS SOCIEDAD ANONIMA N 3","ACTIVO",NA,273,11,1971-07-11,NA,"IPT ANTOFAGASTA",": 77418580-1 ANGLO AMERICAN NORTE S.A.: 91658000-2 ANGLO AMERICAN NORTE S.A.",284,"Más de 200","Empresa",1971,7,11,50,"Entre 1971 a 1980","02"
"Antofagasta",2010071,"SINDICATO COOPERCARAB ANTOFAGASTA","ACTIVO",NA,11,16,1966-04-07,NA,"IPT ANTOFAGASTA",": 81242500-5 COOPERCARAB",27,"40 o menos","Empresa",1966,4,7,56,"Entre 1961 a 1970","02"
"Antofagasta",2010073,"SINDICATO DE TRABAJADORES DE LA EMPRESA PERIODISTICA ""EL NORTE""","ACTIVO",NA,78,58,1947-05-26,NA,"IPT ANTOFAGASTA",": 84295700-1 EMPRESA PERIODÍSTICA EL NORTE S.A.",136,"Entre 101 y 200","Empresa",1947,5,26,74,"Entre 1900 a 1950","02"
"Antofagasta",2010078,"SINDICATO DE TRABAJADORES Nº2 DE LA EMPRESA UNIVERSIDAD CATOLICA DEL NORTE","ACTIVO",NA,102,145,1967-05-05,NA,"IPT ANTOFAGASTA",": 81518400-9 UNIVERSIDAD CATOLICA DEL NORTE",247,"Más de 200","Empresa",1967,5,5,55,"Entre 1961 a 1970","02"
"Antofagasta",2010085,"SINDICATO DE TRABAJADORES Nº2 DE LA EMPRESA EMBOTELLADORA GRANIC S.A.","ACTIVO",NA,93,19,1965-08-08,NA,"IPT ANTOFAGASTA",": 91144000-8 EMBOTELLADORA ANDINA S.A.: 93473000-3 EMBOTELLADORA COCA COLA POLAR S.A.: 96928520-7 TRANSPORTES POLAR S.A.",112,"Entre 101 y 200","Empresa",1965,8,8,56,"Entre 1961 a 1970","02"
"Antofagasta",2010086,"SINDICATO DE TRABAJADORES Nº 1 DE LA EMPRESA EMBOTELLADORA GRANIC S.A","ACTIVO",NA,99,10,1965-08-15,"0 ACTIVIDADES NO ESPECIFICADAS","IPT ANTOFAGASTA",": 91144000-8 EMBOTELLADORA ANDINA S.A.: 93473000-3 EMBOTELLADORA COCA COLA POLAR S.A.: 96928520-7 TRANSPORTES POLAR S.A.",109,"Entre 101 y 200","Empresa",1965,8,15,56,"Entre 1961 a 1970","02"
"Antofagasta",2010108,"SINDICATO DE EMPRESA ENAEX S.A. PLANTA MEJILLONES","ACTIVO",NA,107,4,1984-02-20,NA,"IPT ANTOFAGASTA",": 90266000-3 ENAEX S. A.",111,"Entre 101 y 200","Empresa",1984,2,20,38,"Entre 1981 a 1990","02"
"Antofagasta",2010120,"SINDICATO DE TRABAJADORES DE LA EMPRESA CENTRO MEDICO ANTOFAGASTA S.A","ACTIVO",NA,33,282,1985-07-16,NA,"IPT ANTOFAGASTA",": 95431000-0 SERVICIOS Y ABASTECIMIENTOS A CLINICAS S.A.: 95432000-6 CENTRO MEDICO ANTOFAGASTA S.A.: 96359000-8 SOCIEDAD MEDICA QUIRURGICA ANTOFAGASTA S.A.",315,"Más de 200","Empresa",1985,7,16,36,"Entre 1981 a 1990","02"
"Antofagasta",2010139,"SINDICATO DE TRABAJADORES DE EDUCACION EMPRESA COLEGIO SAN LUIS","ACTIVO","269060 735 223838",20,70,1987-09-15,NA,"IPT ANTOFAGASTA",": 81302300-8 COLEGIO SAN LUIS",90,"Entre 51 y 100","Empresa",1987,9,15,34,"Entre 1981 a 1990","02"
"Antofagasta",2010147,"SINDICATO DE TRABAJADORES DE LA EMPRESA HIDROMEC LTDA","ACTIVO","222406",26,0,1988-03-15,NA,"IPT ANTOFAGASTA",": 89880800-9 HIDROMEC SPA",26,"40 o menos","Empresa",1988,3,15,34,"Entre 1981 a 1990","02"
"Antofagasta",2010154,"SINDICATO MINAS DE TRABAJADORES DE LA EMPRESA SOCIEDAD QUIMICA Y MINERA DE CHILE SOCIEDAD ANONIMA, PEDRO DE VALDIVIA","ACTIVO","639357",114,6,1988-07-12,"0 ACTIVIDADES NO ESPECIFICADAS","IPT ANTOFAGASTA",": 96592190-7 SQM NITRATOS S.A.",120,"Entre 101 y 200","Empresa",1988,7,12,33,"Entre 1981 a 1990","02"
"Antofagasta",2010168,"SINDICATO DE TRABAJADORES DE LA EMPRESA NACIONAL DE MINERIA OFICINA REGIONAL I - II REGIONES ANTOFAGASTA.","ACTIVO",NA,5,3,1989-04-22,NA,"IPT ANTOFAGASTA",": 61703000-4 ENAMI",8,"40 o menos","Empresa",1989,4,22,33,"Entre 1981 a 1990","02"
"Antofagasta",2010173,"SINDICATO DE TRABAJADORES DE LA EMPRESA ELECTRICA DE ANTOFAGASTA S.A DE LA II REGION","ACTIVO","221713",22,9,1989-06-22,NA,"IPT ANTOFAGASTA",": 76411321-7 CGE S.A.: 96541920-9 EMPRESA ELECTRICA DE ANTOFAGASTA S.A",31,"40 o menos","Empresa",1989,6,22,32,"Entre 1981 a 1990","02"
"Antofagasta",2010176,"SINDICATO Nº 4 DE ACADEMICOS Y PROFESIONALES DE LA UNIVERSIDAD CATOLICA DEL NORTE","ACTIVO",NA,194,157,1989-08-21,NA,"IPT ANTOFAGASTA",": 81518400-9 UNIVERSIDAD CATOLICA DEL NORTE",351,"Más de 200","Empresa",1989,8,21,32,"Entre 1981 a 1990","02"
"Antofagasta",2010197,"SINDICATO DE INGENIEROS Y PROFESIONALES DE LA EMPRESA ENGIE ENERGIA CHILE S.A","ACTIVO","251788",52,13,1990-06-06,NA,"IPT ANTOFAGASTA",": 88006900-4 EMPRESA ELECTRICA DEL NORTE GRANDE S.A",65,"Entre 51 y 100","Empresa",1990,6,6,31,"Entre 1981 a 1990","02"
"Antofagasta",2010198,"SINDICATO DE TRABAJADORES DE LA EMPRESA EAGLE SCHOOL.","ACTIVO",NA,7,38,1990-06-13,NA,"IPT ANTOFAGASTA",": 65154484-K FUNDACION EDUCACIONAL EAGLEHURST: 96774340-2 EAGLE SCHOOL S.A.",45,"Entre 41 y 50","Empresa",1990,6,13,31,"Entre 1981 a 1990","02"
